corr,binname,lower_bound_size,upper_bound_size
NaN,0,NaN,NaN
2.87877055960113,1-2,-0.130435944948187,0.0937426409522768
3.63524285457626,3-4,-0.130257080117796,0.155797241498205
3.76670602860666,5-6,-0.233231624157843,0.153333452270989
4.3037631929044,7-8,-0.16291433713292,0.198577161957061
4.38620468195256,9-10,-0.338186846985087,0.342511898879612
4.61280616928792,11-12,-0.21099743241707,0.281905210117907
5.20234743682584,13-14,-0.329492524729014,0.446515342709421
5.31118234700057,15-16,-0.507400962120276,0.398197803134678
5.75059435528191,17-18,-0.435524467426436,0.47098123317906
5.64737566049371,19-20,-0.5688815202995,0.514854828037642
5.8732104949974,21-22,-0.565046536088343,0.654277754914492
6.41863243624221,23-24,-0.348479730782603,0.622335903041181
7.12698053129202,25-26,-0.830581601446827,0.518256712237189
NaN,27-28,NaN,NaN
NaN,29-30,NaN,NaN
